id,sheet,topic,subject,question,answer
LR-4-SET,Loss reliefs,Individuals,"Individuals – Trading loss – CB, CY","For Individuals, with a Trading loss where CB, CY relief is claimed, what can the loss be set against?",General income
LR-4-RULE,Loss reliefs,Individuals,"Individuals – Trading loss – CB, CY","For Individuals, with a Trading loss and CB, CY relief, what are the rules and time limits for the claim (including any order of set-off)?",Cap: higher of 50k vs 25% total income -PPC
LR-5-SET,Loss reliefs,Individuals,Individuals – Trading loss – CF,"For Individuals, with a Trading loss where CF relief is claimed, what can the loss be set against?",Trading profits
LR-5-RULE,Loss reliefs,Individuals,Individuals – Trading loss – CF,"For Individuals, with a Trading loss and CF relief, what are the rules and time limits for the claim (including any order of set-off)?",Set against first available trading profits - automatic and compulsory
LR-6-SET,Loss reliefs,Individuals,Individuals – Trading loss – CY,"For Individuals, with a Trading loss where CY relief is claimed, what can the loss be set against?",Capital gains
LR-6-RULE,Loss reliefs,Individuals,Individuals – Trading loss – CY,"For Individuals, with a Trading loss and CY relief, what are the rules and time limits for the claim (including any order of set-off)?",Excess can be set against capital gains (ROBIGCAB)
LR-7-SET,Loss reliefs,Individuals,Individuals – Property business loss – CY,"For Individuals, with a Property business loss where CY relief is claimed, what can the loss be set against?",Property profits
LR-7-RULE,Loss reliefs,Individuals,Individuals – Property business loss – CY,"For Individuals, with a Property business loss and CY relief, what are the rules and time limits for the claim (including any order of set-off)?",Automatically offset against CY first
LR-8-SET,Loss reliefs,Individuals,Individuals – Property business loss – CY,"For Individuals, with a Property business loss where CY relief is claimed, what can the loss be set against?",Property profits
LR-8-RULE,Loss reliefs,Individuals,Individuals – Property business loss – CY,"For Individuals, with a Property business loss and CY relief, what are the rules and time limits for the claim (including any order of set-off)?",No CB available
LR-9-SET,Loss reliefs,Individuals,Individuals – Property business loss – CF,"For Individuals, with a Property business loss where CF relief is claimed, what can the loss be set against?",Total profits
LR-9-RULE,Loss reliefs,Individuals,Individuals – Property business loss – CF,"For Individuals, with a Property business loss and CF relief, what are the rules and time limits for the claim (including any order of set-off)?",Must be offset against total profits
LR-10-SET,Loss reliefs,Individuals,Individuals – Early trade loss relief – CB,"For Individuals, with a Early trade loss relief where CB relief is claimed, what can the loss be set against?",Total income
LR-10-RULE,Loss reliefs,Individuals,Individuals – Early trade loss relief – CB,"For Individuals, with a Early trade loss relief and CB relief, what are the rules and time limits for the claim (including any order of set-off)?",Three tax years on FIFO basis
LR-11-SET,Loss reliefs,Individuals,Individuals – Early trade loss relief – CB,"For Individuals, with a Early trade loss relief where CB relief is claimed, what can the loss be set against?",Total income
LR-11-RULE,Loss reliefs,Individuals,Individuals – Early trade loss relief – CB,"For Individuals, with a Early trade loss relief and CB relief, what are the rules and time limits for the claim (including any order of set-off)?",All or nothing
LR-12-SET,Loss reliefs,Individuals,Individuals – Terminal loss relief – CB,"For Individuals, with a Terminal loss relief where CB relief is claimed, what can the loss be set against?",Taxable trading profits
LR-12-RULE,Loss reliefs,Individuals,Individuals – Terminal loss relief – CB,"For Individuals, with a Terminal loss relief and CB relief, what are the rules and time limits for the claim (including any order of set-off)?",Three tax years on LIFO basis
LR-13-SET,Loss reliefs,Individuals,Individuals – Terminal loss relief – CB,"For Individuals, with a Terminal loss relief where CB relief is claimed, what can the loss be set against?",Taxable trading profits
LR-13-RULE,Loss reliefs,Individuals,Individuals – Terminal loss relief – CB,"For Individuals, with a Terminal loss relief and CB relief, what are the rules and time limits for the claim (including any order of set-off)?",All or nothing
LR-14-SET,Loss reliefs,Single companies,"Single companies – Trading loss – CB, CY","For Single companies, with a Trading loss where CB, CY relief is claimed, what can the loss be set against?",Total profits
LR-14-RULE,Loss reliefs,Single companies,"Single companies – Trading loss – CB, CY","For Single companies, with a Trading loss and CB, CY relief, what are the rules and time limits for the claim (including any order of set-off)?",Always set against current period first
LR-15-SET,Loss reliefs,Single companies,"Single companies – Trading loss – CB, CY","For Single companies, with a Trading loss where CB, CY relief is claimed, what can the loss be set against?",Total profits
LR-15-RULE,Loss reliefs,Single companies,"Single companies – Trading loss – CB, CY","For Single companies, with a Trading loss and CB, CY relief, what are the rules and time limits for the claim (including any order of set-off)?",All or nothing
LR-16-SET,Loss reliefs,Single companies,Single companies – Trading loss – CF,"For Single companies, with a Trading loss where CF relief is claimed, what can the loss be set against?",Total profits
LR-16-RULE,Loss reliefs,Single companies,Single companies – Trading loss – CF,"For Single companies, with a Trading loss and CF relief, what are the rules and time limits for the claim (including any order of set-off)?",Partial claims
LR-17-SET,Loss reliefs,Single companies,"Single companies – Capital loss – CY, CF","For Single companies, with a Capital loss where CY, CF relief is claimed, what can the loss be set against?",Capital gains
LR-17-RULE,Loss reliefs,Single companies,"Single companies – Capital loss – CY, CF","For Single companies, with a Capital loss and CY, CF relief, what are the rules and time limits for the claim (including any order of set-off)?",No CB available
LR-18-SET,Loss reliefs,Single companies,Single companies – Property business losses – CY,"For Single companies, with a Property business losses where CY relief is claimed, what can the loss be set against?",Total profits
LR-18-RULE,Loss reliefs,Single companies,Single companies – Property business losses – CY,"For Single companies, with a Property business losses and CY relief, what are the rules and time limits for the claim (including any order of set-off)?",Automatically offset against CY first
LR-19-SET,Loss reliefs,Single companies,"Single companies – Property business losses – CY, CF","For Single companies, with a Property business losses where CY, CF relief is claimed, what can the loss be set against?",Total profits
LR-19-RULE,Loss reliefs,Single companies,"Single companies – Property business losses – CY, CF","For Single companies, with a Property business losses and CY, CF relief, what are the rules and time limits for the claim (including any order of set-off)?",No CB available
LR-20-SET,Loss reliefs,Groups,Groups – Trading loss – CY,"For Groups, with a Trading loss where CY relief is claimed, what can the loss be set against?",Taxable trading profits
LR-20-RULE,Loss reliefs,Groups,Groups – Trading loss – CY,"For Groups, with a Trading loss and CY relief, what are the rules and time limits for the claim (including any order of set-off)?",Maximum amount that can be surrendered is lowest of' the available profits in the claimant company and the available losses in the surrendering company
LR-21-SET,Loss reliefs,Groups,Groups – Trading loss – CY,"For Groups, with a Trading loss where CY relief is claimed, what can the loss be set against?",Taxable trading profits
LR-21-RULE,Loss reliefs,Groups,Groups – Trading loss – CY,"For Groups, with a Trading loss and CY relief, what are the rules and time limits for the claim (including any order of set-off)?",QCD and property losses must be offset against its total profits first
LR-22-SET,Loss reliefs,Groups,Groups – Trading loss – CY,"For Groups, with a Trading loss where CY relief is claimed, what can the loss be set against?",Taxable trading profits
LR-22-RULE,Loss reliefs,Groups,Groups – Trading loss – CY,"For Groups, with a Trading loss and CY relief, what are the rules and time limits for the claim (including any order of set-off)?","Claimant can claim up to it CY taxable total profits, not other income"
LR-23-SET,Loss reliefs,Groups,Groups – Trading loss – CY,"For Groups, with a Trading loss where CY relief is claimed, what can the loss be set against?",Taxable trading profits
LR-23-RULE,Loss reliefs,Groups,Groups – Trading loss – CY,"For Groups, with a Trading loss and CY relief, what are the rules and time limits for the claim (including any order of set-off)?",Assume claimant uses its own losses first even if it doesn't
LR-24-SET,Loss reliefs,Groups,Groups – Trading loss – CY,"For Groups, with a Trading loss where CY relief is claimed, what can the loss be set against?",Taxable trading profits
LR-24-RULE,Loss reliefs,Groups,Groups – Trading loss – CY,"For Groups, with a Trading loss and CY relief, what are the rules and time limits for the claim (including any order of set-off)?","Set against claimant's: property losses, CY trading losses, b/f losses, QCDs, CP group relief, CF group belief"
LR-25-SET,Loss reliefs,Groups,Groups – Trading loss – CF,"For Groups, with a Trading loss where CF relief is claimed, what can the loss be set against?",Taxable trading profits
LR-25-RULE,Loss reliefs,Groups,Groups – Trading loss – CF,"For Groups, with a Trading loss and CF relief, what are the rules and time limits for the claim (including any order of set-off)?",Can only surrender losses remaining after set against surrenderee's CP total profits
LR-26-SET,Loss reliefs,Groups,Groups – Property loss – CF,"For Groups, with a Property loss where CF relief is claimed, what can the loss be set against?",Taxable trading profits
LR-26-RULE,Loss reliefs,Groups,Groups – Property loss – CF,"For Groups, with a Property loss and CF relief, what are the rules and time limits for the claim (including any order of set-off)?",Claimant must use its own CP and CF losses first against its taxable total profits
LR-27-SET,Loss reliefs,Groups,Groups – Capital loss – CP,"For Groups, with a Capital loss where CP relief is claimed, what can the loss be set against?",Capital gains
LR-27-RULE,Loss reliefs,Groups,Groups – Capital loss – CP,"For Groups, with a Capital loss and CP relief, what are the rules and time limits for the claim (including any order of set-off)?",Only CP capital losses can be transferred
LR-28-SET,Loss reliefs,Groups,Groups – Capital loss – CP,"For Groups, with a Capital loss where CP relief is claimed, what can the loss be set against?",Capital gains
LR-28-RULE,Loss reliefs,Groups,Groups – Capital loss – CP,"For Groups, with a Capital loss and CP relief, what are the rules and time limits for the claim (including any order of set-off)?",Any amount can be transferred
DATE-1,Dates and penalties,Income tax and NICs: PAYE,Payment period,"For Income tax and NICs: PAYE, what is the normal payment period?",Monthly
DATE-2,Dates and penalties,Income tax and NICs: PAYE,Payment deadline,"For Income tax and NICs: PAYE, what is the payment deadline?",17 days after end of tax month - 22 May
DATE-3,Dates and penalties,Income tax and NICs: PAYE,Special condition,"For Income tax and NICs: PAYE, what are the rules or key conditions for Special condition?","If average monthly PAYE payments are less than £1500, you can elect to pay quarterly"
DATE-4,Dates and penalties,Income tax and NICs: PAYE,Year end procedues,"For Income tax and NICs: PAYE, what are the rules or key conditions for Year end procedues?",17 May: Final real time submission
DATE-5,Dates and penalties,Income tax and NICs: PAYE,Year end procedues,"For Income tax and NICs: PAYE, what are the rules or key conditions for Year end procedues?",31 May: P60 given to employees
DATE-6,Dates and penalties,Income tax and NICs: PAYE,Year end procedues,"For Income tax and NICs: PAYE, what are the rules or key conditions for Year end procedues?",6 July: P11D and P11D(b)
DATE-7,Dates and penalties,Loss relief: individuals,"Claim: carry back, current period","For Loss relief: individuals, what is the time limit or rule for claims relating to carry back, current period?","Must be made by 31 January, 22 months after end of tax year of the loss"
DATE-8,Dates and penalties,Loss relief: individuals,Claim: carry forward,"For Loss relief: individuals, what is the time limit or rule for claims relating to carry forward?",Must be made within 4 years of end of tax year of the loss
DATE-9,Dates and penalties,Loss relief: individuals,ETLR,"For Loss relief: individuals, what are the rules or key conditions for ETLR?","Must be made by 31 January, 22 months after end of tax year of the loss"
DATE-10,Dates and penalties,Loss relief: individuals,TLR,"For Loss relief: individuals, what are the rules or key conditions for TLR?",Must be made within 4 years of end of tax year of the loss
DATE-11,Dates and penalties,Loss relief: individuals,BADR,"For capital gains tax, what are the conditions for Business Asset Disposal Relief (BADR)?","Must be made by 31 January, 22 months after end of tax year of the loss"
DATE-12,Dates and penalties,Loss relief: individuals,Investors' relief,"For capital gains tax, what are the conditions for Investors' Relief?","Must be made by 31 January, 22 months after end of tax year of the loss"
DATE-13,Dates and penalties,Loss relief: companies and groups,"Claim: current period, carry back","For Loss relief: companies and groups, what is the time limit or rule for claims relating to current period, carry back?",Must be made within 2 years of the end of accounting period of the loss made
DATE-14,Dates and penalties,Loss relief: companies and groups,Claim: carry forward,"For Loss relief: companies and groups, what is the time limit or rule for claims relating to carry forward?",Must be made within 2 years of the end of accounting period of the loss relieved
DATE-15,Dates and penalties,Loss relief: companies and groups,"Claim: group relief current period, carry forward","For Loss relief: companies and groups, what is the time limit or rule for claims relating to group relief current period, carry forward?",Must be made within 2 years of the end of the claimant company's profit making period
DATE-16,Dates and penalties,Loss relief: companies and groups,Claim: group gains and losses,"For Loss relief: companies and groups, what is the time limit or rule for claims relating to group gains and losses?",Joint election within 2 years of end of disposing company's account period
DATE-17,Dates and penalties,Self assessment: individuals,Filing dates - electronic,"For Self assessment: individuals, what is the filing deadline for electronic?",Must be filed by 31 January after end of tax year
DATE-18,Dates and penalties,Self assessment: individuals,Filing dates - notification from HMRC,"For Self assessment: individuals, what is the filing deadline for notification from HMRC?","If later than Oct/Jan deadlines, within 3 months of HMRC issuing notice"
DATE-19,Dates and penalties,Self assessment: individuals,Payments on account: IT and 4 NICS,"For Self assessment: individuals, what are the rules or key conditions for Payments on account: IT and 4 NICS?",Two equal payments: 31 January during tax year and 31 July following tax year
DATE-20,Dates and penalties,Self assessment: individuals,Notification of liability,"For Self assessment: individuals, what are the rules or key conditions for Notification of liability?",Must be made by 5 October after end of tax year
DATE-21,Dates and penalties,Self assessment: individuals,Filing dates - paper returns,"For Self assessment: individuals, what is the filing deadline for paper returns?",Must be filed by 31 October after end of tax year
DATE-22,Dates and penalties,Self assessment: individuals,Amendment by taxpayer,"For Self assessment: individuals, what are the rules or key conditions for Amendment by taxpayer?","Within 12 months of filing date, or three months after notice issued if after October"
DATE-23,Dates and penalties,Self assessment: individuals,Amendment by HMRC,"For Self assessment: individuals, what are the rules or key conditions for Amendment by HMRC?",Within 9 months of filing date
DATE-24,Dates and penalties,Self assessment: individuals,Records,"For Self assessment: individuals, for how long must records be kept?",Retained for 5 years after 31 Jan following tax year
DATE-25,Dates and penalties,Self assessment: individuals,Compliance checks,"For Self assessment: individuals, what are the rules or key conditions for Compliance checks?",HMRC to give notice by first anniversary of filing date
DATE-26,Dates and penalties,Self assessment: individuals,Compliance checks: late filing,"For Self assessment: individuals, what are the rules or key conditions for Compliance checks: late filing?",12 months from the quarter date because the filing was late
DATE-27,Dates and penalties,Self assessment: individuals,Balancing payments,"For Self assessment: individuals, what are the rules or key conditions for Balancing payments?",Must be filed by 31 January after end of tax year
DATE-28,Dates and penalties,Self assessment: individuals,CGT,"For Self assessment: individuals, what are the rules or key conditions for CGT?",Must be filed by 31 January after end of tax year
DATE-29,Dates and penalties,Self assessment: individuals,CGT: residential property,"For Self assessment: individuals, what are the rules or key conditions for CGT: residential property?",Within 60 days of disposal
DATE-30,Dates and penalties,Self assessment: individuals,Penalties for late filing,"For Self assessment: individuals, what penalties apply?",0 to 3 mths: £100
DATE-31,Dates and penalties,Self assessment: individuals,Penalties for late filing,"For Self assessment: individuals, what penalties apply?",3 to 6 mths: Further penalty: £10 per day (maximum 90 days)
DATE-32,Dates and penalties,Self assessment: individuals,Penalties for late filing,"For Self assessment: individuals, what penalties apply?",6 to 12 mths: Further penalty: greater of 5% of unpaid tax and £300
DATE-33,Dates and penalties,Self assessment: individuals,Penalties for late filing,"For Self assessment: individuals, what penalties apply?",12 mths: greater of % of unpaid tax (conduct based) and £300
DATE-34,Dates and penalties,Self assessment: individuals,Penalties for late paid tax: balancing payment and CGT,"For Self assessment: individuals, what penalties apply for balancing payment and cgt?",Within 30 days (penalty date): 0%
DATE-35,Dates and penalties,Self assessment: individuals,Penalties for late paid tax: balancing payment and CGT,"For Self assessment: individuals, what penalties apply for balancing payment and cgt?",Within 5 mths of penalty date (ie under 6 months late): 5%
DATE-36,Dates and penalties,Self assessment: individuals,Penalties for late paid tax: balancing payment and CGT,"For Self assessment: individuals, what penalties apply for balancing payment and cgt?",Between 5 and 11 mths of penalty date: 10%
DATE-37,Dates and penalties,Self assessment: individuals,Penalties for late paid tax: balancing payment and CGT,"For Self assessment: individuals, what penalties apply for balancing payment and cgt?",More than 11 mths of penalty date: 15%
DATE-38,Dates and penalties,Self assessment: individuals,Penalties for errors,"For Self assessment: individuals, what penalties apply?",Common penalty regime
DATE-39,Dates and penalties,Self assessment: companies,Notification: first accounting period,"For Self assessment: companies, what are the rules or key conditions for Notification: first accounting period?",Within three months of the beginning of its first accounting period
DATE-40,Dates and penalties,Self assessment: companies,Notifcation: chargeability,"For Self assessment: companies, what are the rules or key conditions for Notifcation: chargeability?","If HMRC does not issue notice, company must notify within 12 months of end of accounting period"
DATE-41,Dates and penalties,Self assessment: companies,Filing date,"For Self assessment: companies, what are the rules or key conditions for Filing date?","Later of 12 months from end of accounting period, three months from notification"
DATE-42,Dates and penalties,Self assessment: companies,Payment: not large companies,"For Self assessment: companies, what are the rules or key conditions for Payment: not large companies?",Nine months and one day after end of accounting period
DATE-43,Dates and penalties,Self assessment: companies,Payment: large companies - 12 month AP,"For Self assessment: companies, what are the rules or key conditions for Payment: large companies - 12 month AP?","Quarterly instalments on the 14th of months 7, 10, 13, 16"
DATE-44,Dates and penalties,Self assessment: companies,Payment: large companies - Short AP,"For Self assessment: companies, what are the rules or key conditions for Payment: large companies - Short AP?",1st installment 14th of month 7…. Last instalment ALWAYS due 14th of 4th month at the end of accounting period
DATE-45,Dates and penalties,Self assessment: companies,Amendment by company,"For Self assessment: companies, what are the rules or key conditions for Amendment by company?",Within 12 months of filing date
DATE-46,Dates and penalties,Self assessment: companies,Records,"For Self assessment: companies, for how long must records be kept?",6 years from end of accounting period
DATE-47,Dates and penalties,Self assessment: companies,Compliance checks,"For Self assessment: companies, what are the rules or key conditions for Compliance checks?",HMRC to give notice by first anniversary of filing date
DATE-48,Dates and penalties,Self assessment: companies,Compliance checks,"For Self assessment: companies, what are the rules or key conditions for Compliance checks?",Quarter day following the first anniversary of actual filing date
DATE-49,Dates and penalties,Self assessment: companies,Penalties: late payment,"For Self assessment: companies, what penalties apply for late payment?",CT Liability x 7.75% x n/12 or n/365
DATE-50,Dates and penalties,Self assessment: companies,Penalties: failure to notify first accounting period,"For Self assessment: companies, what penalties apply for failure to notify first accounting period?",£300 plus £60/day; £3000 for fraudulently or negilgently giving incorrect information
DATE-51,Dates and penalties,Self assessment: companies,Penalties: failure to notify chargeability,"For Self assessment: companies, what penalties apply for failure to notify chargeability?",Behaviour based
DATE-52,Dates and penalties,Self assessment: companies,Penalties: late filing,"For Self assessment: companies, what penalties apply for late filing?",Up to three months late £100
DATE-53,Dates and penalties,Self assessment: companies,Penalties: late filing,"For Self assessment: companies, what penalties apply for late filing?",Up to six months late £200
DATE-54,Dates and penalties,Self assessment: companies,Penalties: late filing,"For Self assessment: companies, what penalties apply for late filing?",Up to 12 months late £200 + 10% unpaid tax
DATE-55,Dates and penalties,Self assessment: companies,Penalties: late filing,"For Self assessment: companies, what penalties apply for late filing?",Over 12 months late £200 + 20% unpaid tax
DATE-56,Dates and penalties,Self assessment: companies,Penalties: failure to keep records,"For Self assessment: companies, what penalties apply for failure to keep records?",Up to £3000 for each accounting period affected
DATE-57,Dates and penalties,Self assessment: companies,Penalties: errors,"For Self assessment: companies, what penalties apply for errors?",Common penalty regime
DATE-58,Dates and penalties,VAT,Registration: Historic test - exceed,"For VAT, what are the registration rules for historic test - exceed?",>90k in previous 12 months
DATE-59,Dates and penalties,VAT,Registration: Historic test - notify,"For VAT, what are the registration rules for historic test - notify?",30 days
DATE-60,Dates and penalties,VAT,Registration: Historic test - register,"For VAT, what are the registration rules for historic test - register?",1 month + 1 day
DATE-61,Dates and penalties,VAT,Registration: Future test - exceed,"For VAT, what are the registration rules for future test - exceed?",>90k in next 30 days
DATE-62,Dates and penalties,VAT,Registration: Future test - notify,"For VAT, what are the registration rules for future test - notify?",30 days
DATE-63,Dates and penalties,VAT,Registration: Future test - register,"For VAT, what are the registration rules for future test - register?",On date of exceeding 90k
DATE-64,Dates and penalties,VAT,VAT periods,"For VAT, what are the rules or key conditions for VAT periods?",3 calendar months
DATE-65,Dates and penalties,VAT,Records,"For VAT, for how long must records be kept?",6 years
DATE-66,Dates and penalties,VAT,Filing date,"For VAT, what are the rules or key conditions for Filing date?",1 month + 7 days from end of VAT period
DATE-67,Dates and penalties,VAT,Payment: on account for large traders >£2.3m,"For VAT, what are the rules or key conditions for Payment: on account for large traders >£2.3m?","3 payments: two payments/quarter in month 2 and 3, balance due one month after quarter"
DATE-68,Dates and penalties,VAT,Refunds,"For VAT, what are the rules or key conditions for Refunds?",4 year limit
DATE-69,Dates and penalties,VAT,Tax point: basic,"For VAT, what are the rules or key conditions for Tax point: basic?",Goods/services first made available/completed
DATE-70,Dates and penalties,VAT,Tax point: earlier,"For VAT, what are the rules or key conditions for Tax point: earlier?",Invoice issued or payment received before basic tax point
DATE-71,Dates and penalties,VAT,Tax point: later,"For VAT, what are the rules or key conditions for Tax point: later?",Invoice issued within 14 days of basic tax point
DATE-72,Dates and penalties,VAT,Claims: bad debts/impairment,"For VAT, what are the rules or key conditions for Claims: bad debts/impairment?",Within 4 years and 6 months from when payment due
DATE-73,Dates and penalties,VAT,VAT invoices,"For VAT, what are the rules or key conditions for VAT invoices?",Must supply within 30 days
DATE-74,Dates and penalties,VAT,Penalties,"For VAT, what penalties apply?",Expire after 2 years unless 4 points reached
DATE-75,Dates and penalties,VAT,Penalties,"For VAT, what penalties apply?",£200 penalty for 4 points
DATE-76,Dates and penalties,VAT,Penalties,"For VAT, what penalties apply?",£200 penalty for subsequent late returns
DATE-77,Dates and penalties,VAT,Penalties: fixed,"For VAT, what penalties apply for fixed?",VAT due x penalty % (tax tables)
